Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,40-44,3282,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,45-49,2964,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,50-54,2574,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,55-59,2010,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,60-64,1680,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,65-*,5160,number,Number of people,
Gisborne,Gisborne Region,2001,Age in five-year groups for the census usually resident population count,Total people,43974,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,0-4,3651,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,5-9,3855,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,10-14,4146,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,15-19,3459,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,20-24,2295,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,25-29,2274,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,30-34,2721,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,35-39,2979,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,40-44,3231,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,45-49,3267,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,50-54,2916,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,55-59,2472,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,60-64,1884,number,Number of people,
Gisborne,Gisborne Region,2006,Age in five-year groups for the census usually resident population count,65-*,5346,number,Number of people,
